name,cnpj,start,end,te,tusd,rate,resolution
CERTAJA,97839922000129,2026-07-30,2027-07-29,0.28196,0.49845999999999996,0.78042,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.822, DE 30 DE JULHO DE 2026"
COSERN,08324196000181,2026-04-22,2027-04-21,0.29344,0.48236,0.7758,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.573, DE 22 DE ABRIL DE 2026"
CERGAL,86439510000185,2026-01-01,2026-09-29,0.19262,0.58092,0.77354,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.539, DE 23 DE SETEMBRO DE 2025"
CASTRO-DIS,30460297000139,2026-07-30,2027-07-29,0.30196,0.46720999999999996,0.76917,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.813, DE 30 DE JULHO DE 2026"
COPEL-DIS,04368898000106,2026-06-24,2027-06-23,0.31085,0.45717,0.76802,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.592, DE 23 DE JUNHO DE 2026"
PACTO ENERGIA PR,79850574000109,2026-06-26,2027-06-25,0.31085,0.45717,0.76802,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.606, DE 26 DE AGOSTO DE 2026"
DEMEI,95289500000100,2026-07-22,2027-07-21,0.28648,0.47767000000000004,0.76415,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.675, DE 22 DE JULHO DE 2026"
ERO,05914650000166,2026-08-26,2026-12-12,0.05885,0.70359,0.76244,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.320, DE 24 DE AGOSTO DE 2026"
CELESC,08336783000190,2026-08-22,2027-08-21,0.34570999999999996,0.41404,0.75975,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.602, DE 21 DE AGOSTO DE 2026"
DCELT,83855973000130,2026-08-29,2027-08-28,0.34570999999999996,0.41404,0.75975,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.380, DE 28 DE AGOSTO DE 2026"
ESE,13017462000163,2026-04-22,2027-04-21,0.27181,0.4828,0.75461,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.575, DE 22 DE ABRIL DE 2026"
COORSEL,86448057000173,2026-01-01,2026-09-29,0.22083000000000003,0.5260900000000001,0.74692,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.530, DE 23 DE SETEMBRO DE 2025"
ELFSM,27485069000109,2026-01-01,2026-09-21,0.30339,0.44198000000000004,0.74537,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.519, DE 16 DE SETEMBRO DE 2025"
